inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
NTWQJLVMCMGYFX-UHFFFAOYSA-N,Chembl434076,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HXPSFLFBTMZTJA-UHFFFAOYSA-N,Chembl160032,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UNRIONDDDLYYIB-UHFFFAOYSA-N,Chembl278522,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
SRSCMKAWNIMFBH-UHFFFAOYSA-N,Chembl161556,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NVRFXAMSIAVBKR-UHFFFAOYSA-N,Schembl7460936,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YXHYBROWEBJJDJ-UHFFFAOYSA-N,Chembl20116,0,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VABIMMIJVWNHFI-UHFFFAOYSA-N,(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID,1,-2,-2,12,1,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
IYCRWFVECZGJNO-UHFFFAOYSA-N,Chembl66637,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VCRJGDMIXXMMSM-UHFFFAOYSA-N,Chembl241367,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FXFPQPNUMWQRAO-UHFFFAOYSA-N,6-[(5-CHLORO-3-METHYL-1-BENZOFURAN-2-YL)SULFONYL]PYRIDAZIN-3(2H)-ONE,1,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GGSDCOASHFUHDF-WEVVVXLNSA-N,Chembl2260163,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JOGGJDKLNQCAQJ-UHFFFAOYSA-N,Chembl371914,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZCAGEXZTORJQDZ-UHFFFAOYSA-N,IDD552,1,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GPQKECIPWTYISH-WGDLNXRISA-N,Chembl324976,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GMKLOAOWOJRHSF-UHFFFAOYSA-N,Chembl323390,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RBFMXSCFUBMKHQ-UHFFFAOYSA-N,RBFMXSCFUBMKHQ-UHFFFAOYSA-N,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
SVMPAHFUSVWHHQ-UHFFFAOYSA-N,Chembl65731,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MVDAJCXOQBRPQC-UHFFFAOYSA-N,Chembl372193,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KHOABLVWXDWXPC-UHFFFAOYSA-N,Chembl62197,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PBJWOZLKMABXIV-UHFFFAOYSA-N,Chembl63527,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MWEHPDAZLSYTLC-JMCQJSRRSA-N,Chembl69546,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OKKPPBSDWXKISO-UHFFFAOYSA-N,Bdbm50010441,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AAVOEDYCRXZYKX-UHFFFAOYSA-N,Chembl297483,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WUVVCZBFNZDXOK-AMIZOPFISA-N,Chembl302804,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
