inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
TZIZWYVVGLXXFV-FLRHRWPCSA-N,Triamcinolone Hexacetonide,0,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
UYNVMODNBIQBMV-UHFFFAOYSA-N,Ifenprodil,1,3,5,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
SIPVTPUQMGMVGR-OXJNMPFZSA-N,Chembl262807,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
SOQJPQZCPBDOMF-YCUXZELOSA-N,Betamethasone 17-Benzoate,0,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
LUKZNWIVRBCLON-GXOBDPJESA-N,Ciclesonide,1,3,5,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
XSFJVAJPIHIPKU-XWCQMRHXSA-N,Flunisolide,1,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
WEGNFRKBIKYVLC-XTLNBZDDSA-N,Flunisolide acetate,1,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
WVZSEUPGUDIELE-HTAPYJJXSA-N,Ro-25-6981,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
WPBRSJXCRWSAHJ-UHFFFAOYSA-N,Chembl48029,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
KUVIULQEHSCUHY-XYWKZLDCSA-N,Beclomethasone dipropionate,1,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
LEXCUYJOSMWKSD-UHFFFAOYSA-N,Chembl258032,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
XGMPVBXKDAHORN-RBWIMXSLSA-N,Triamcinolone Diacetate,0,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
JGCVTFLICCNHDD-UWSHHPTNSA-N,Chembl3344495,0,-2,-2,9,1,1,1,PMATZTZNYRCHOR-CGLBZJNRSA-N,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin,Alisporivir,Ciclosporin
OLROWHGDTNFZBH-XEMWPYQTSA-N,Alisporivir,1,1,0,9,1,1,1,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
WIAGFHVCTJFWDT-ASDRUYPJSA-N,28-O-Methylrapamycin,0,-2,-2,9,0,1,2,QFJCIRLUMZQUOT-HPLJOQBZSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,Sirolimus,Ciclosporin,Tacrolimus
PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin,1,2,5,9,1,1,1,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
PSOUMVMIILMULF-ACYXGMLHSA-N,Nsc606699,0,-2,-2,9,1,1,1,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,,Sirolimus,Tacrolimus,
QFJCIRLUMZQUOT-HPLJOQBZSA-N,Sirolimus,1,2,5,9,0,1,2,QFJCIRLUMZQUOT-HPLJOQBZSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,Sirolimus,Ciclosporin,Tacrolimus
MGJXVGYEHYGJSG-BURKWPIKSA-N,Chembl3344503,0,-2,-2,9,1,1,1,PMATZTZNYRCHOR-CGLBZJNRSA-N,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin,Alisporivir,Ciclosporin
BUROJSBIWGDYCN-GAUTUEMISA-N,Ridaforolimus,1,-2,-2,9,0,1,2,QFJCIRLUMZQUOT-HPLJOQBZSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,Sirolimus,Ciclosporin,Tacrolimus
OMMWALDDOGNKQM-LSIABQMLSA-N,Chembl3344500,0,-2,-2,9,1,1,1,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
GPZGXSFHPLUMHE-ILYHMVRFSA-N,"Rapamycin C-7, Analog 5A",0,-2,-2,9,1,1,1,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,,Sirolimus,Tacrolimus,
KQZKQPCMHFSLEK-ZXVPZRJPSA-N,Chembl3344501,0,-2,-2,9,1,1,1,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
HJLWEROPDBIBIJ-KRBMXJRHSA-N,Sirolimus Analogue,0,-2,-2,9,1,1,1,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,,Sirolimus,Tacrolimus,
HKVAMNSJSFKALM-GKUWKFKPSA-N,Everolimus,1,-2,-2,9,0,1,2,QFJCIRLUMZQUOT-HPLJOQBZSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,Sirolimus,Ciclosporin,Tacrolimus
BMSZQAQYJNQVLE-ZPPMEFKMSA-N,CID5386304,0,-2,-2,9,1,1,1,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,,Sirolimus,Tacrolimus,
CBPNZQVSJQDFBE-FUXHJELOSA-N,Temsirolimus,1,-2,-2,9,0,1,2,QFJCIRLUMZQUOT-HPLJOQBZSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,Sirolimus,Ciclosporin,Tacrolimus
XVVFLTOUXGEOFG-XTGOEAPLSA-N,Chembl3344494,0,-2,-2,9,1,1,1,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
YMTMADLUXIRMGX-RFPWEZLHSA-N,Clocortolone,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
JPTKVJWWVFLEJL-GVPGRCOTSA-N,Unii-T51D685Oxg,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
VKMFDKYCIKEDMR-UHFFFAOYSA-N,Unii-Q85Iyk36S4,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
VTDNMOIPAWUQFC-UHFFFAOYSA-N,Chembl80007,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
XAXUUHRSYQHGOZ-FXCZEWEHSA-N,Chembl302366,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
STUATRUKRPVHDN-WMZHIEFXSA-N,Chembl106191,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,FHCUMDQMBHQXKK-UHFFFAOYSA-N,,Ifenprodil,Velpatasvir,
QZCFWXKDDJAIKH-UHFFFAOYSA-N,Chembl311884,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
OLGIWXISMDCNKB-JYJGEGPXSA-N,Chembl81387,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
WXURHACBFYSXBI-GQKYHHCASA-N,Flumethasone,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
UWGRWFCLGQWKPR-GSTUPEFVSA-N,Difluocortolone pivalate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
XBGIMQCGDSYYIA-UHFFFAOYSA-N,Chembl419478,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
XWTIDFOGTCVGQB-FHIVUSPVSA-N,Fluocortin Butyl,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
BMCQMVFGOVHVNG-TUFAYURCSA-N,Hydrocortisone butyrate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
QEMSVZNTSXPFJA-HNAYVOBHSA-N,Traxoprodil,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,FHCUMDQMBHQXKK-UHFFFAOYSA-N,,Ifenprodil,Velpatasvir,
ZSPUPDLIDVSXPC-SFTDATJTSA-N,Chembl104314,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
SBQAKZYUNWNIRL-WIPKXTQKSA-N,Prednisolone Farnesylate,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
DNDXMHMLUZVSPN-UHFFFAOYSA-N,Chembl312384,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,FHCUMDQMBHQXKK-UHFFFAOYSA-N,,Ifenprodil,Velpatasvir,
ZALGNZKPJDVGDG-UHFFFAOYSA-N,Chembl96744,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
JZAYUGIZPPLLGT-UHFFFAOYSA-N,Chembl173092,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
YICPRNFRCVOHKV-UHFFFAOYSA-N,Chembl1778865,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
FACWRFJFXCBAEV-GIHRJZAFSA-N,Chembl3273976,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
LQEOLCFSXOKBOO-UHFFFAOYSA-N,Chembl257783,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
ILKJAFIWWBXGDU-MOGDOJJUSA-N,Amcinonide,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
XCBFDMFJYYJHAL-UHFFFAOYSA-N,Chembl220775,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
HUMXXHTVHHLNRO-KAJVQRHHSA-N,Prednisolone tebutate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
FMCPCSGAJIHZSJ-OXJNMPFZSA-N,Chembl107055,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
BDSYKGHYMJNPAB-LICBFIPMSA-N,Halobetasol Propionate,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
MJFXQINBAMQTEC-HRAATJIYSA-N,Chembl323338,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
YMBNTGAWHCIVEX-UHFFFAOYSA-N,Chembl151489,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
BISFDZNIUZIKJD-XDANTLIUSA-N,Pivalone,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
AKUJBENLRBOFTD-RPRRAYFGSA-N,Dexamethasone acetate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
FCSHDIVRCWTZOX-DVTGEIKXSA-N,Clobetasol,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
FCXXSNGUDWIOQU-HJPURHCSSA-N,Chembl172807,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
LZAJCBKXRGTZBY-UHFFFAOYSA-N,Chembl149054,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
MGNNYOODZCAHBA-GQKYHHCASA-N,Fluticasone,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
WOFMFGQZHJDGCX-ZULDAHANSA-N,Mometasone furoate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
IMBXEJJVJRTNOW-XYMSELFBSA-N,Methylprednisolone hemisuccinate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
SAVSWSLDYAAIDF-VNRXVJIBSA-N,Chembl414449,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,JUKPWJGBANNWMW-VWBFHTRKSA-N,,Ciclesonide,Eplerenone,
FBRAWBYQGRLCEK-AVVSTMBFSA-N,Clobetasone Butyrate,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
FOGXJPFPZOHSQS-AYVLZSQQSA-N,Hydrocortisone probutate,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
SXHFOZMDNMIMRF-UHFFFAOYSA-N,Chembl81204,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
DDIWRLSEGOVQQD-BJRLRHTOSA-N,Dexamethasone Acefurate,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
