inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
SRSCMKAWNIMFBH-UHFFFAOYSA-N	Chembl161556	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NTWQJLVMCMGYFX-UHFFFAOYSA-N	Chembl434076	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YXHYBROWEBJJDJ-UHFFFAOYSA-N	Chembl20116	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
HXPSFLFBTMZTJA-UHFFFAOYSA-N	Chembl160032	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UNRIONDDDLYYIB-UHFFFAOYSA-N	Chembl278522	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YQNQNVDNTFHQSW-UHFFFAOYSA-N	Nitazoxanide	1	3	1	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
VABIMMIJVWNHFI-UHFFFAOYSA-N	(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID	1	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NVRFXAMSIAVBKR-UHFFFAOYSA-N	Schembl7460936	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
SPLMGGIJFIXMGO-UHFFFAOYSA-N	CID13312626	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DEZJLIXJXQEJDP-WEVVVXLNSA-N	Chembl2260162	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
JQCJXYOLCNZFBS-UHFFFAOYSA-N	Chembl1668047	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
