inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
ZFHUEKAHJIQOFT-UHFFFAOYSA-N	Ac1Lg7Iw	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
PKXNQBUCYDEQBI-AMCGLFBUSA-N	Chembl1173493	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
MQDHGUHGLZWJBB-UHFFFAOYSA-N	2-(4-Chlorophenoxy)-6-Methyl-2,3-Dihydro-1,3,2-Diazaphosphinin-4(1H)-One 2-Oxide	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
YLIQVEPMZVVUEK-UHFFFAOYSA-O	3Ma	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
GJTBSTBJLVYKAU-XVFCMESISA-N	2-Thiouridine	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
IWUCXVSUMQZMFG-RGDLXGNYSA-N	Levovirin	1	3	4	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
NGRSGVITJHAZFF-UHFFFAOYSA-N	Nsc636984	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
XKCPDSGQQVWLAA-HHXMPLFPSA-N	Chembl1911848	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
AWAJVWLTSQPOPH-VDTYLAMSSA-N	4-Amino-5-Fluoro-1-[(2S,5R)-5-(Hydroxymethyl)-2,5-Dihydrothiophen-2-Yl]Pyrimidin-2-One	0	-2	-2	12	0	1	2	ZCGNOVWYSGBHAU-UHFFFAOYSA-N	IWUCXVSUMQZMFG-AFCXAGJDSA-N		Favipiravir	Levovirin	
UATAXZFEGUYBRK-HHXMPLFPSA-N	Chembl1911846	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
CVOOHNKMGNVXDM-HHXMPLFPSA-N	Chembl1911845	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
PKHUNKJDBDSLMT-HDVIWIBHSA-N	PKHUNKJDBDSLMT-HDVIWIBHSA-N	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
DASAVNHJBPMDCD-UHFFFAOYSA-N	DASAVNHJBPMDCD-UHFFFAOYSA-N	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ZCGNOVWYSGBHAU-UHFFFAOYSA-N	Favipiravir	1	3	4	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
LJKWEWJREYPGCW-HHXMPLFPSA-N	Chembl1911847	0	-2	-2	12	1	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
GCNHJMIFEBTWOD-UHFFFAOYSA-N	Nsc95448	0	-2	-2	12	1	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
XHSQDZXAVJRBMX-DDHJBXDOSA-N	56-dichloro-1-beta-D-ribofuranosyl-1H-benzimidazole	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
ZAYHVCMSTBRABG-JXOAFFINSA-N	5-Methylcytidine	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
KBHMEHLJSZMEMI-KSYZLYKTSA-N	Formycin	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
VFERKVPEPDAXQV-UHFFFAOYSA-N	4-Amino-4,5-Dihydrofuran-2-Carboxylic Acid	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
HRYKDUPGBWLLHO-UHFFFAOYSA-N	8-Azaadenine	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
BOJJYWPYGHMXDH-UHFFFAOYSA-N	3-Ethylcytosine	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
VFKHECGAEJNAMV-LAHCRNKXSA-N	Chembl2051948	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
ZVTJLFMPNKAXHW-UHFFFAOYSA-N	Kinome_3029	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
DRTQHJPVMGBUCF-XVFCMESISA-N	Uridine	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
GBOGEEQLPKNDRP-RITPCOANSA-N	Schembl11745991	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
VNZFGKZJYJRQGA-UHFFFAOYSA-N	Nsc680827	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ZCNZMPYUGPBHNU-UHFFFAOYSA-N	Chembl81640	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
CBYMMQQFLSFSMF-UHFFFAOYSA-N	CBYMMQQFLSFSMF-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
NSXJHIFQIZKLGF-LWIVVEGESA-N	A-134974	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
CWHBUPIYFIPPRI-UHFFFAOYSA-N	2,2,3,3-Tetrahydroxy-2,3-Dihydronaphthalene-1,4-Dione	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
TVCBDTCUOVDLNZ-UHFFFAOYSA-N	Nsc146268	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
FPZVDNBKSQOYAX-SVRRBLITSA-N	4-Amino-1-[(2S,5R)-5-(Hydroxymethyl)-2,5-Dihydrothiophen-2-Yl]Pyrimidin-2-One	0	-2	-2	8	0	0	2	IWUCXVSUMQZMFG-AFCXAGJDSA-N	ZCGNOVWYSGBHAU-UHFFFAOYSA-N		Levovirin	Favipiravir	
WFWXOSGVJSTSOE-ZOQUXTDFSA-N	Ipcar	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
YOLIFSPBHKLMGH-UCORVYFPSA-N	Ac1Nv4Eq	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
VXQJZRMGOUEINP-VPZHOCMTSA-N	Chembl1911732	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
RYMCFYKJDVMSIR-UHFFFAOYSA-N	Apricitabine	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
QSTIQBJVDMSSEK-NKIYYHGXSA-N	Chembl2018791	0	-2	-2	8	0	0	2	ZCGNOVWYSGBHAU-UHFFFAOYSA-N	IWUCXVSUMQZMFG-AFCXAGJDSA-N		Favipiravir	Levovirin	
QDQQNGZRIJPDGA-UHFFFAOYSA-N	Ethionamide Sulfoxide	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
KJHMEAOMPGLBTJ-KGQVPBNKSA-N	5-IMINO-4-(2-TRIFLUOROMETHYL-PHENYLAZO)-5H-PYRAZOL-3-YLAMINE	1	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ITDFAZXRTGZMBY-UHFFFAOYSA-N	ITDFAZXRTGZMBY-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
BHGZOVXPACYZLI-DFTQBPQZSA-N	4Pf5	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
USSSLMVUWXJIPO-KQYNXXCUSA-N	Chembl311217	0	-2	-2	8	0	0	2	ZCGNOVWYSGBHAU-UHFFFAOYSA-N	IWUCXVSUMQZMFG-AFCXAGJDSA-N		Favipiravir	Levovirin	
SENXUALRENKBCQ-UHFFFAOYSA-N	Ao-267/15176072	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
UQVNRKBFAXNOGA-HRZZMDIGSA-N	Tomaymycin	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
XJISWBRFPIQWMB-UHFFFAOYSA-N	Nsc703545	0	-2	-2	8	0	0	2	ZCGNOVWYSGBHAU-UHFFFAOYSA-N	IWUCXVSUMQZMFG-AFCXAGJDSA-N		Favipiravir	Levovirin	
VRMUAANRIKUQHN-UHFFFAOYSA-N	VRMUAANRIKUQHN-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ZVXPPRPCRWUYHG-UHFFFAOYSA-N	Ac1Mharn	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
SXYBEOZUKQPSJZ-DAGMQNCNSA-N	Chloro(Dihydroxy)[?]One	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
IPMOTTQXPAXTMS-AYGMOLCDSA-N	2-Ribofuranosyl-3-Iodo-23-Dihydro-1h-Pyrazolo[34-D]Pyrimidin-4-Ylamine	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
ANVZLQYKEGNGGD-UHFFFAOYSA-N	ANVZLQYKEGNGGD-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
OLXZPDWKRNYJJZ-RRKCRQDMSA-N	2'-Deoxyadenosine	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
KJFBVJALEQWJBS-XUXIUFHCSA-N	Maribavir	1	0	0	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
BIJBBTOMGWDEJN-JTFADIMSSA-N	Chembl372715	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
DEBGOBSRAFGHMO-UHFFFAOYSA-N	Chembl3633250	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
WNIQCHQWBKTBCU-UHFFFAOYSA-N	Nsc670036	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
SIDXJUHOOIRQED-UHFFFAOYSA-N	Chembl3309905	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
BSYNHAHDUKAHAL-UHFFFAOYSA-N	4-Methoxy-7H-Pyrimido[4,5-B][1,4]Thiazin-6-Amine	0	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ARNADOVVURXYMJ-GITKWUPZSA-N	Chembl1911740	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
RPQZTTQVRYEKCR-WCTZXXKLSA-N	Zebularine	1	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
SNTJRGVKGCPNBK-KGQVPBNKSA-N	5-imino-4-(3-trifluoromethyl-phenylazo)-5H-pyrazol-3-ylamine	1	-2	-2	8	0	1	1	ZCGNOVWYSGBHAU-UHFFFAOYSA-N			Favipiravir		
ONBZWIKPRXQNFE-AMDVSUOASA-N	Chembl355361	0	-2	-2	8	0	1	1	IWUCXVSUMQZMFG-AFCXAGJDSA-N			Levovirin		
