inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
UOGXNGRTMXTGCK-WUHRBBMRSA-N,Carbocyclic Analog 20,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
DTBDFNJXZHXCFW-CYZMBNFOSA-N,Ac1Larrj,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
OBZAQDJURYQWDV-RRFJBIMHSA-N,Ac1Larps,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
QPGLIZFPRZQICS-ARFHVFGLSA-N,Ac1Larpv,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
YECXRZFUGGIMCT-BFHYXJOUSA-N,Ac1Larpp,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
AQRGYVZHOSSLOY-WNRNVDISSA-N,Ac1Nuzfk,0,-2,-2,12,1,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
YPMBNCFSXARQKQ-BYABWDNHSA-N,Chembl3344493,0,-2,-2,10,2,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,Alisporivir,Ciclosporin,Ciclosporin
OMMWALDDOGNKQM-LSIABQMLSA-N,Chembl3344500,0,-2,-2,10,2,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
WLEGHUATPVYRSK-UHFFFAOYSA-N,Ac1Oa4Rn,0,-2,-2,10,0,1,9,IACQCQDWSIQSRP-ZCFIWIBFSA-N,CGZOGNUFXMNYEI-UDUHKTKDSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,Tenofovir Diphosphate,Chebi:125390,Terbinafine
KQZKQPCMHFSLEK-ZXVPZRJPSA-N,Chembl3344501,0,-2,-2,10,2,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin,1,2,5,10,2,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
JAYAGJDXJIDEKI-PTGWOZRBSA-N,Lanatoside C,1,-2,-2,10,3,3,4,LPMXVESGRSUGHW-HBYQJFLCSA-N,LTMHDMANZUZIPE-PUGKRICDSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N,Ouabain,Digoxin,Hydroxyprogesterone caproate
OLROWHGDTNFZBH-XEMWPYQTSA-N,Alisporivir,1,1,0,10,2,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
XVVFLTOUXGEOFG-XTGOEAPLSA-N,Chembl3344494,0,-2,-2,9,1,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
HPMZBILYSWLILX-UMDUKNJSSA-N,Acetyldigitoxin,1,-2,-2,9,2,3,4,LTMHDMANZUZIPE-PUGKRICDSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N,LPMXVESGRSUGHW-HBYQJFLCSA-N,Digoxin,Hydroxyprogesterone caproate,Ouabain
VTQWFYXLYNJGCR-OJSOPAHASA-N,Chembl553660,0,-2,-2,9,1,4,4,MYEJFUXQJGHEQK-ALRJYLEOSA-N,LPMXVESGRSUGHW-HBYQJFLCSA-N,LTMHDMANZUZIPE-PUGKRICDSA-N,Proscillaridin,Ouabain,Digoxin
OAFIVRUVYWMTHX-WSXXDHOZSA-N,Chembl2068885,0,-2,-2,9,0,0,6,LPMXVESGRSUGHW-HBYQJFLCSA-N,LTMHDMANZUZIPE-PUGKRICDSA-N,MYEJFUXQJGHEQK-ALRJYLEOSA-N,Ouabain,Digoxin,Proscillaridin
GKQPKEYSNFSHDQ-UHFFFAOYSA-N,GKQPKEYSNFSHDQ-UHFFFAOYSA-N,0,-2,-2,9,0,0,6,BJNLLBUOHPVGFT-UHFFFAOYSA-N,CGZOGNUFXMNYEI-UDUHKTKDSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,Teicoplanin,Chebi:125390,Anidulafungin
XSADKPNQNYOYQO-JVTILXPNSA-N,Ethyl-Pentanamide,0,-2,-2,9,0,0,5,BLMPQMFVWMYDKT-UHFFFAOYSA-N,BPBPYQWMFCTCNG-UHFFFAOYSA-N,FHCUMDQMBHQXKK-UHFFFAOYSA-N,Carfilzomib,PX-12,Velpatasvir
IYJMSDVSVHDVGT-PEQKVOOWSA-N,Metildigoxin,1,-2,-2,9,2,3,4,LTMHDMANZUZIPE-PUGKRICDSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N,LPMXVESGRSUGHW-HBYQJFLCSA-N,Digoxin,Hydroxyprogesterone caproate,Ouabain
DATNVOFYDOSSRI-QDEQFAGTSA-N,DATNVOFYDOSSRI-QDEQFAGTSA-N,0,-2,-2,9,0,1,5,CGZOGNUFXMNYEI-UDUHKTKDSA-N,CZFFBEXEKNGXKS-UHFFFAOYSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,Chebi:125390,Raltegravir,Anidulafungin
TUOKAPUNXQTTDK-JYTYACEASA-N,Chembl2069057,0,-2,-2,9,0,0,6,LPMXVESGRSUGHW-HBYQJFLCSA-N,LTMHDMANZUZIPE-PUGKRICDSA-N,MYEJFUXQJGHEQK-ALRJYLEOSA-N,Ouabain,Digoxin,Proscillaridin
OVNDMANGULXPPV-WIQLLUQNSA-N,Chembl3344502,0,-2,-2,9,1,2,3,OLROWHGDTNFZBH-XEMWPYQTSA-N,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,Alisporivir,Ciclosporin,Ciclosporin
YFGQJKBUXPKSAW-YSTAXILLSA-N,Lanatoside A,0,-2,-2,9,2,3,4,LTMHDMANZUZIPE-PUGKRICDSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N,LPMXVESGRSUGHW-HBYQJFLCSA-N,Digoxin,Hydroxyprogesterone caproate,Ouabain
HWKJSYYYURVNQU-DXJNJSHLSA-N,Acetyldigoxin,1,-2,-2,9,2,3,4,LTMHDMANZUZIPE-PUGKRICDSA-N,DOMWKUIIPQCAJU-LJHIYBGHSA-N,LPMXVESGRSUGHW-HBYQJFLCSA-N,Digoxin,Hydroxyprogesterone caproate,Ouabain
ICFBIVXFINBMRC-UHFFFAOYSA-N,ICFBIVXFINBMRC-UHFFFAOYSA-N,0,-2,-2,9,0,0,6,BJNLLBUOHPVGFT-UHFFFAOYSA-N,CGZOGNUFXMNYEI-UDUHKTKDSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,Teicoplanin,Chebi:125390,Anidulafungin
JIDKYDTZYFDAFZ-JMJZKYOTSA-N,Chembl350298,0,-2,-2,8,0,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
ROGKFDGNMDXYMW-QJPTWQEYSA-N,Chembl432329,0,-2,-2,8,0,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
CBFGLTVFUUNAQI-UHFFFAOYSA-N,Ac1O99Um,0,-2,-2,8,0,0,8,ACGUYXCXAPNIKK-UHFFFAOYSA-N,CGZOGNUFXMNYEI-UDUHKTKDSA-N,FSVJFNAIGNNGKK-UHFFFAOYSA-N,Hexachlorophene,Chebi:125390,(R)-Praziquantel
BKSBSWKRQZCHQR-CWPPHPDTSA-N,Carbocyclic Analogue 62,0,-2,-2,8,0,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
NENPYTRHICXVCS-YNEHKIRRSA-N,Oseltamivir acid,1,-2,-2,8,0,1,1,DNVXATUJJDPFDM-KRWDZBQOSA-N,,,1268524-70-4,,
