inchikey,name,is_drug,evidence,moa,top_5,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
QGSWOCCDAUKNAQ-UHFFFAOYSA-N,Chembl3581653,0,-2,-2,0,0,2,2,2,CJBJHOAVZSMMDJ-UHFFFAOYSA-N,Schembl3009075
VUVUVNZRUGEAHB-ZDUSSCGKSA-N,Chembl2181820,1,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
RFMUVQXFILOQCW-UHFFFAOYSA-N,Chembl3356541,0,-2,-2,0,1,2,2,2,CJBJHOAVZSMMDJ-UHFFFAOYSA-N,Schembl3009075
KGVGAGNNCQMVOM-INIZCTEOSA-N,Chembl2431084,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
BEBIPBFPYIYAQJ-MRXNPFEDSA-N,Chembl2431092,0,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
JNQMJJOKUWHNMB-AWEZNQCLSA-N,Schembl1111363,0,-2,-2,0,0,2,2,2,AOCCBINRVIKJHY-UHFFFAOYSA-N,Carmofur
BEBIPBFPYIYAQJ-INIZCTEOSA-N,Chembl2431091,0,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
VIUAUNHCRHHYNE-JTQLQIEISA-N,Pimasertib,1,-2,-2,0,1,2,2,2,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetrahydrozoline
CJTVZWXEXYPYBQ-KRWDZBQOSA-N,Chembl2431089,0,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
WNXYOMAVTPCODN-BXKMTCNYSA-N,Chembl3353986,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
KVTMDRDZMBVWNC-UHFFFAOYSA-N,Chembl2311806,0,-2,-2,0,0,2,3,3,BSPZFJDYQHDZNR-BOSXTWCSSA-N,BSPZFJDYQHDZNR-BOSXTWCSSA-N
SAWAYEJQVOZQER-UHFFFAOYSA-N,Chembl230064,0,-2,-2,0,0,2,2,2,BSPZFJDYQHDZNR-BOSXTWCSSA-N,BSPZFJDYQHDZNR-BOSXTWCSSA-N
HSJOABPTIKNZTD-ZDUSSCGKSA-N,Chembl2431081,0,-2,-2,0,0,2,3,3,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
PXFJXUWUMFORFW-UHFFFAOYSA-N,Chembl1172397,0,-2,-2,0,0,2,2,3,CZFFBEXEKNGXKS-UHFFFAOYSA-N,Raltegravir
PDVJAZJYCGXARV-ZDUSSCGKSA-N,Chembl2431087,0,-2,-2,0,0,2,2,2,CJBJHOAVZSMMDJ-UHFFFAOYSA-N,Schembl3009075
