inchikey,name,is_drug,evidence,moa,suppo,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
RRAMYRUPUWWUBH-QDRJTDBGSA-N,Chembl97202,0,-2,-2,0,0,5,8,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
QVDAYNWSBRMFDY-JMTSUQPMSA-N,Chembl95619,0,-2,-2,0,0,4,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
QVDAYNWSBRMFDY-BAPVHFSLSA-N,Chembl97777,0,-2,-2,0,0,4,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
QVDAYNWSBRMFDY-FQKZJGMXSA-N,Chembl97428,0,-2,-2,0,0,4,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
QVDAYNWSBRMFDY-GXRYLWRYSA-N,Chembl317946,0,-2,-2,0,0,4,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
LPLMGWGSYDRHTH-GXRYLWRYSA-N,Chembl433396,0,-2,-2,0,0,4,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
VGGVCHNYGPQJAN-NAYUSWPISA-N,Chembl346120,0,-2,-2,1,1,3,6,9,CYOHGALHFOKKQC-UHFFFAOYSA-N,Selumetinib
HLFSDGLLUJUHTE-UHFFFAOYSA-N,Levamisole,1,-2,-2,0,0,3,4,4,BMGQWWVMWDBQGC-IIFHNQTCSA-N,Midostaurin
NIIYJLOVYOOABU-QUUJSONZSA-N,Ac1Mhrwf,0,-2,-2,0,0,3,8,9,CBVCZFGXHXORBI-UHFFFAOYSA-N,Indinavir
OMGWFSBXWBDBBP-RDJANBOGSA-N,Chembl97409,0,-2,-2,0,0,3,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
OMGWFSBXWBDBBP-XFJGMTBJSA-N,Chembl321048,0,-2,-2,0,0,3,9,9,BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline
OXNCDJWXUFUQCY-SUGCFTRWSA-N,Ac1Mhrwi,0,-2,-2,0,0,3,9,9,CBVCZFGXHXORBI-UHFFFAOYSA-N,Indinavir
MLBVMOWEQCZNCC-OEMFJLHTSA-N,Fosamprenavir,1,-2,-2,1,1,3,5,6,CGZOGNUFXMNYEI-UDUHKTKDSA-N,Chebi:125390
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,Darunavir,1,-2,-2,0,0,3,5,5,CGZOGNUFXMNYEI-UDUHKTKDSA-N,Chebi:125390
MNDNWXNRVPYSDS-RMFXYIPJSA-N,Chembl158358,0,-2,-2,0,0,3,9,9,CBVCZFGXHXORBI-UHFFFAOYSA-N,Indinavir
