inchikey,name,is_drug,evidence,moa,suppo,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
RRAMYRUPUWWUBH-QDRJTDBGSA-N,Chembl97202,0,-2,-2,0,0,5,8,9,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
CDSXVXMUMRBIGJ-UHFFFAOYSA-N,Chembl3604735,0,-2,-2,1,1,4,4,5,XEEQGYMUWCZPDN-DOMZBBRYSA-N,Mefloquine
QVDAYNWSBRMFDY-GXRYLWRYSA-N,Chembl317946,0,-2,-2,0,0,4,9,10,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
AASCKLXRKILUGL-UHFFFAOYSA-N,Einecs 258-028-6,0,-2,-2,0,0,4,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
KJFBVJALEQWJBS-XUXIUFHCSA-N,Maribavir,1,0,0,1,1,4,7,7,KJFBVJALEQWJBS-XUXIUFHCSA-N,Maribavir
VTQWFYXLYNJGCR-OJSOPAHASA-N,Chembl553660,0,-2,-2,1,1,4,4,4,MYEJFUXQJGHEQK-ALRJYLEOSA-N,Proscillaridin
ZCCSXSGQBCSILH-UHFFFAOYSA-N,Chembl3120280,0,-2,-2,0,0,4,5,5,WHTVZRBIWZFKQO-UHFFFAOYSA-N,Chloroquine
MYEJFUXQJGHEQK-ALRJYLEOSA-N,Proscillaridin,1,0,0,1,1,4,4,4,MYEJFUXQJGHEQK-ALRJYLEOSA-N,Proscillaridin
QVDAYNWSBRMFDY-FQKZJGMXSA-N,Chembl97428,0,-2,-2,0,0,4,9,10,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
HDOZVRUNCMBHFH-UHFFFAOYSA-N,Zotepine,1,-2,-2,1,1,4,4,4,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,Chlorpromazine
NPHHLSOQKLWOCK-AHIYZFNLSA-N,Ghalakinoside,0,-2,-2,0,0,4,4,4,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
RYMCFYKJDVMSIR-UHFFFAOYSA-N,Apricitabine,1,-2,-2,0,0,4,8,9,MCGSCOLBFJQGHM-UHFFFAOYSA-N,Abacavir
LPLMGWGSYDRHTH-GXRYLWRYSA-N,Chembl433396,0,-2,-2,0,0,4,9,10,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
QHTLPWXBPOENQB-KTGBMRPESA-N,Chembl555674,0,-2,-2,0,0,4,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
VTQWFYXLYNJGCR-UHFFFAOYSA-N,VTQWFYXLYNJGCR-UHFFFAOYSA-N,0,-2,-2,0,0,4,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
QVDAYNWSBRMFDY-BAPVHFSLSA-N,Chembl97777,0,-2,-2,0,0,4,9,10,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
QVDAYNWSBRMFDY-JMTSUQPMSA-N,Chembl95619,0,-2,-2,0,0,4,9,10,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
YMXLDCZQTRKESQ-UHFFFAOYSA-N,Chembl3617452,0,-2,-2,0,0,3,4,4,XEEQGYMUWCZPDN-DOMZBBRYSA-N,Mefloquine
LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin,1,0,0,3,3,3,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
HPMZBILYSWLILX-UMDUKNJSSA-N,Acetyldigitoxin,1,-2,-2,2,2,3,4,4,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
HWKJSYYYURVNQU-DXJNJSHLSA-N,Acetyldigoxin,1,-2,-2,2,2,3,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
YFGQJKBUXPKSAW-YSTAXILLSA-N,Lanatoside A,0,-2,-2,2,2,3,4,4,LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,Darunavir,1,-2,-2,0,0,3,6,6,MLBVMOWEQCZNCC-UHFFFAOYSA-N,Fosamprenavir
XVVFLTOUXGEOFG-XTGOEAPLSA-N,Chembl3344494,0,-2,-2,2,2,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
GXYKQROUIHVBLB-DBMJAXCJSA-N,Chembl3344497,0,-2,-2,1,1,3,4,4,PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin
YPMBNCFSXARQKQ-BYABWDNHSA-N,Chembl3344493,0,-2,-2,2,2,3,4,4,PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin
FIGQLJMXYIMIGW-NAYUSWPISA-N,Chembl347802,0,-2,-2,1,1,3,6,9,NCDNCNXCDXHOMX-XGKFQTDJSA-N,Ritonavir
WLEGHUATPVYRSK-UHFFFAOYSA-N,Ac1Oa4Rn,0,-2,-2,0,0,3,25,33,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,Terbinafine
