inchikey,name,is_drug,evidence,moa,suppo,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
KMAMPFGXPHTYPQ-KMHPXQNHSA-N,Chembl507731,0,-2,-2,0,0,4,4,4,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
SCWHRCHTSPZEKX-ZFHIERRRSA-N,Chembl1819283,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
KFOKJHFZOWFZMK-ADSKZFNVSA-N,Chembl1819287,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
WQMLFJWIKARBFW-HCGNMXHKSA-N,Chembl1819286,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
KFNRMYZDMWUYPM-FDIOJOJDSA-N,Chembl252119,0,-2,-2,0,0,4,5,6,VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir
FOEFFFBPEIGFEX-IJLINHMISA-N,Chembl1835485,0,-2,-2,0,0,4,4,5,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
BOARCKQGDXYXGL-IJLINHMISA-N,Chembl1835487,0,-2,-2,0,0,4,4,4,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
KFOKJHFZOWFZMK-UOKHPVEXSA-N,Chembl1819282,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
WQMLFJWIKARBFW-BKKMTDGVSA-N,Evomonoside,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
SCWHRCHTSPZEKX-JSGKQMPZSA-N,Chembl1819288,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
WQMLFJWIKARBFW-UHFFFAOYSA-N,CID12308633,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
GFEQPJLSPPMUEG-VYIXFUBHSA-N,Gfeqpjlsppmueg-Vyixfubhsa-N,0,-2,-2,0,0,4,6,6,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
VOSIOPUBJWPQLP-MBKURTIGSA-N,Chembl322716,0,-2,-2,0,0,3,4,7,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
JHQWLEOVLPIFJB-MPQUPPDSSA-N,Chembl555466,0,-2,-2,0,0,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
LLQCATMGHGFZSS-UHFFFAOYSA-N,Chembl198935,0,-2,-2,0,0,3,3,3,QWAXKHKRTORLEM-UHFFFAOYSA-N,Saquinavir
PXXYOLIWFSWZNP-LOYHVIPDSA-P,Dimethyl-L-Bebeerine,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
IMVOBBVIXAQIED-OIDHKYIRSA-N,Chembl539956,0,-2,-2,0,0,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
RKGFOGQBSWVWRE-VKSGXJPYSA-N,Chembl2021596,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
MBVUNZINNSVFPJ-WPOAXHDQSA-N,Chembl2216758,0,-2,-2,1,1,3,5,5,OGHNVEJMJSYVRP-UHFFFAOYSA-N,Carvedilol
AMDBWPUYNXJYJF-UHFFFAOYSA-N,Chembl320991,0,-2,-2,0,0,3,3,3,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
AOJSPTDRNYDUQW-KSISVUKISA-N,Chembl1269583,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
CFZGCDHAFXNPIA-VNHFGJPGSA-N,Chembl1269587,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
FUZMQNZACIFDBL-KYJUHHDHSA-N,Hernandezine,0,-2,-2,0,0,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
WVTKBKWTSCPRNU-XZWHSSHBSA-N,Tetrandrine,1,-2,-2,3,3,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
ITGZZZYNPULRNZ-ZDUSSCGKSA-N,Cularidine,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
JHDKMJRBYZAZFR-SIGFPMBQSA-N,Chembl1269589,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
YJCOFCPVDAACMI-ZBHOSOLTSA-N,Chembl2043019,0,-2,-2,0,0,3,3,4,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
MHFFPFLMIZYTNJ-OIDHKYIRSA-N,O-(4-Ethoxybutyl)Berbamine,0,-2,-2,0,0,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
HFDMYHJKNGVKIE-LBPKNPAYSA-N,Chembl1269590,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
FKHCVUFZOFEROS-MUUNZHRXSA-N,Nsc135070,0,-2,-2,0,0,3,4,4,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
LMYSMWRGUZMLGF-MZZDGGEQSA-N,Chembl415597,0,-2,-2,0,0,3,4,4,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
HFVORKQMCNYFND-UJUZIFHISA-N,Chembl2216757,0,-2,-2,2,2,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
PMATZTZNYRCHOR-NFOUMSERSA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine,1,0,0,2,2,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
YVPXVXANRNDGTA-UHFFFAOYSA-N,Nsc-623442,0,-2,-2,1,1,3,3,3,YQNQNVDNTFHQSW-UHFFFAOYSA-N,Nitazoxanide
GZKBBELRUUTXNY-VMLYWGILSA-N,Chembl2370711,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
QBILRDAMJUPXCX-WAJAWEQJSA-N,Ac1O7Gci,0,-2,-2,0,0,3,5,5,VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir
CDEBVTGYVFHDMA-OTPOQTMVSA-N,Trans-Resveratrol 4'-O-Beta-D-Glucuronide,0,-2,-2,0,0,3,3,3,MFMQRDLLSRLUJY-YMQHIKHWSA-N,Spectrum_001131
QBILRDAMJUPXCX-RIBQKGKFSA-N,Prestwick3_000646,0,-2,-2,0,0,3,5,5,VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir
JFXBEKISTKFVAB-UHFFFAOYSA-N,Metocurine,1,-2,-2,0,0,3,4,4,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
MZTXBESCVZFFQE-FQLXRVMXSA-O,Chembl1617888,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
QBILRDAMJUPXCX-AGAUEGNUSA-N,Helveticoside,0,-2,-2,0,0,3,5,5,VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir
JFXBEKISTKFVAB-AJQTZOPKSA-N,Metocurine,1,-2,-2,0,0,3,4,4,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
NXOCQSCDLIQYIV-WSLSKZGMSA-N,Chembl1269585,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin,1,0,0,2,2,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
DFOCUWZXJBAUSQ-UHFFFAOYSA-N,Berbamine,0,-2,-2,2,2,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
HSVFYEXGVUYSRN-WDYNHAJCSA-N,Chembl2074948,0,-2,-2,1,1,3,3,3,YQNQNVDNTFHQSW-UHFFFAOYSA-N,Nitazoxanide
FBCXFKWMGIWMJQ-IHLOFXLRSA-N,Obaberine,0,-2,-2,3,3,3,3,3,WOBPZFKXPCYOLU-YBFXNURJSA-N,Mls000690029
PMATZTZNYRCHOR-IMVLJIQESA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
IYEARVIIQYFJFO-DJBJBRADSA-N,Chembl2372499,0,-2,-2,0,0,3,5,5,PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib
