inchikey,name,is_drug,evidence,moa,top_5,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
AAAAEENPAALFRN-UHFFFAOYSA-N,Chembl492934,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVLYTXQQMBLNS-UHFFFAOYSA-N,Chembl1829302,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWLFZJTQJPUAX-LPYMAVHISA-N,Mls000571247,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWRGASHJMEIJG-GIJQJNRQSA-N,Chembl3600976,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWRSNPNTWYECL-CUPIEXAXSA-N,Chembl3143025,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWBVGPOPQDTAO-UHFFFAOYSA-N,Chembl398383,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWRSNPNTWYECL-XILBPPKJSA-N,Chembl7423,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVMVMIJAOGGEI-UHFFFAOYSA-N,1C-Meta-Me,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVMOTBUEQKRNX-UHFFFAOYSA-N,Chembl2420292,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVLLXJNRJKQHJ-UHFFFAOYSA-N,Chembl3287052,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWRXABKOWUYAU-UHFFFAOYSA-N,Schembl14167435,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVLBOZRNWAWDO-BYPYZUCNSA-N,Chembl482347,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVKWSHWIMEENI-CMDGGOBGSA-N,Schembl3783872,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVKUYCUIZIZOA-ONEGZZNKSA-N,Bdbm50186032,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVKUSMPNFNZIG-HFQYITBFSA-N,Chembl2414940,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVKCQHNFCLRSS-QHKWOANTSA-N,Nsc702045,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVJTLQAMFKBMN-UHFFFAOYSA-N,Chembl2324482,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEVIHKFPMPLVPH-UHFFFAOYSA-N,Chembl1934621,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWSEBLRYYNQFY-UHFFFAOYSA-N,Chembl475565,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEWBQJJGUXRXEE-UHFFFAOYSA-N,Ac1Lqjc7,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BEURKHXNRCKYAI-UHFFFAOYSA-N,N-(3-Hydroxyphenyl)-4-(Trifluoromethyl)Benzamide,0,-2,-2,40,40,40,40,40,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
