inchikey,name,is_drug,evidence,moa,top_5,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
CJTVZWXEXYPYBQ-KRWDZBQOSA-N,Chembl2431089,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
DRSQZZRFHBWKKZ-AWEZNQCLSA-N,Chembl2431090,0,-2,-2,1,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
DNVXATUJJDPFDM-KRWDZBQOSA-N,1268524-70-4,1,0,1,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
HSJOABPTIKNZTD-ZDUSSCGKSA-N,Chembl2431081,0,-2,-2,0,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
DNVXATUJJDPFDM-UHFFFAOYSA-N,1268524-69-1,1,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
FCJDMCOJXLHSKW-KRWDZBQOSA-N,Chembl2430882,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
DRZSBRAEWGTXQG-FQEVSTJZSA-N,Chembl2430883,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
LAAMDQXQFBZHPI-HNNXBMFYSA-N,Chembl2431093,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
BEBIPBFPYIYAQJ-INIZCTEOSA-N,Chembl2431091,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
MCCFTCOHZYUCJM-HNNXBMFYSA-N,Chembl2431080,0,-2,-2,1,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
CTNRQINHVWUZOO-AWEZNQCLSA-N,Chembl2431077,0,-2,-2,1,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
GHXSPBGOCCWPAD-FQEVSTJZSA-N,Chembl2430879,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
GWXIOJYNQZHICH-INIZCTEOSA-N,Chembl2431073,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
WSWDKZBBVIPAKP-SFHVURJKSA-N,Chembl1958347,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
MHBAKXUSLHCRMN-QFIPXVFZSA-N,Chembl2430875,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
FZHUYANULNIKTF-NRFANRHFSA-N,Chembl2430878,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
GCWIQUVXWZWCLE-INIZCTEOSA-N,Cpi-0610,1,0,1,1,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
VEIZLTSJCDOIBH-INIZCTEOSA-N,Chembl2430881,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
SOOYKPKJBIMQGU-LBPRGKRZSA-N,Chembl2431082,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
GGRCIHACOIMRKY-HNNXBMFYSA-N,Ms417,0,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
AVHQENNJMVDDPS-ZMZPIMSZSA-N,Chembl2431075,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
VYLGFHNCDUMRAR-HNNXBMFYSA-N,Chembl2431079,0,-2,-2,0,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
QAQYIUBNNWPRMF-AWEZNQCLSA-N,Chembl2431078,0,-2,-2,1,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
OTQMKIIOHSXWSJ-KRWDZBQOSA-N,Chembl2349340,0,-2,-2,0,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
MLNSSQJJHZUHDD-INIZCTEOSA-N,Chembl2431094,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
GNMUEVRJHCWKTO-FQEVSTJZSA-N,Otx-015,1,-2,-2,1,1,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
PPRZAKUOTSYDCL-INIZCTEOSA-N,Chembl2431074,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
ULEDFSKEKOPKOV-LBPRGKRZSA-N,Chembl2431083,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
ZCHNIQFKPHLUKE-FQEVSTJZSA-N,Chembl2430877,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
GQAZGSHVSAGDOJ-UHFFFAOYSA-N,Chembl244488,0,-2,-2,0,0,2,2,2,AOCCBINRVIKJHY-UHFFFAOYSA-N,Carmofur
BEBIPBFPYIYAQJ-MRXNPFEDSA-N,Chembl2431092,0,-2,-2,0,0,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
UMYJLWPHQRXSOQ-UHFFFAOYSA-N,Chembl2430888,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
SQIYJOFRHGQVTH-AWEZNQCLSA-N,Chembl2431076,0,-2,-2,0,1,2,2,2,BDSYECBSUUOPCT-UHFFFAOYSA-N,Chembl222301
NGMYZDTWSDWIBO-IBGZPJMESA-N,Chembl2430876,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
AAAQFGUYHFJNHI-SFHVURJKSA-N,Gsk 525762A,1,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
LWEODHHVWRXEBT-UHFFFAOYSA-N,Chembl2430874,0,-2,-2,0,0,2,2,2,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
XGPUXKZIFSNHJV-UHFFFAOYSA-N,F1084-0888,0,-2,-2,0,0,1,1,1,DGPGXHRHNRYVDH-UHFFFAOYSA-N,S1Ra
YJXYZPLPRPNAPZ-SZPZYZBQSA-N,YJXYZPLPRPNAPZ-SZPZYZBQSA-N,0,-2,-2,0,0,1,1,1,BJNLLBUOHPVGFT-UHFFFAOYSA-N,Teicoplanin
LRJOPQDEHYLGQF-UHFFFAOYSA-N,Chembl90002,0,-2,-2,0,0,1,1,1,DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin
YJXYZPLPRPNAPZ-HZCBDIJESA-N,YJXYZPLPRPNAPZ-HZCBDIJESA-N,0,-2,-2,0,0,1,1,1,BJNLLBUOHPVGFT-UHFFFAOYSA-N,Teicoplanin
ZGYIJLHCURUFFT-UHFFFAOYSA-N,Chembl2035607,0,-2,-2,0,0,1,1,1,BPZSYCZIITTYBL-UHFFFAOYSA-N,Formoterol
WNBZBKQSQOLXGL-NSOVKSMOSA-N,Chembl3218822,0,-2,-2,0,0,1,1,1,AHOUBRCZNHFOSL-YOEHRIQHSA-N,Paroxetine
FENPYQKUQYDICF-UHFFFAOYSA-N,FENPYQKUQYDICF-UHFFFAOYSA-N,0,-2,-2,0,0,1,1,1,AXRYRYVKAWYZBR-UHFFFAOYSA-N,Schembl1396072
OLEJJFVQPXRZGL-UPHRSURJSA-N,Chembl558115,0,-2,-2,0,0,1,1,1,AMFDITJFBUXZQN-KUBHLMPHSA-N,Bcx4430 (Freebase)
VUQQHXCBPFASSP-UHFFFAOYSA-N,Chembl1203001,0,-2,-2,0,0,1,1,1,AXRYRYVKAWYZBR-UHFFFAOYSA-N,Schembl1396072
UKFYOXMBPXQXJR-UHFFFAOYSA-N,Chembl200217,0,-2,-2,0,0,1,1,1,CNIIGCLFLJGOGP-UHFFFAOYSA-N,Naphazoline
