inchikey,name,is_drug,evidence,moa,suppo,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
KFOKJHFZOWFZMK-UOKHPVEXSA-N,Chembl1819282,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
FOEFFFBPEIGFEX-IJLINHMISA-N,Chembl1835485,0,-2,-2,0,0,4,5,6,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
WQMLFJWIKARBFW-UHFFFAOYSA-N,CID12308633,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
KFNRMYZDMWUYPM-FDIOJOJDSA-N,Chembl252119,0,-2,-2,0,0,4,5,6,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
WQMLFJWIKARBFW-HCGNMXHKSA-N,Chembl1819286,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
GFEQPJLSPPMUEG-VYIXFUBHSA-N,Gfeqpjlsppmueg-Vyixfubhsa-N,0,-2,-2,0,0,4,7,7,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
BOARCKQGDXYXGL-IJLINHMISA-N,Chembl1835487,0,-2,-2,0,0,4,5,5,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
SCWHRCHTSPZEKX-ZFHIERRRSA-N,Chembl1819283,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
KMAMPFGXPHTYPQ-KMHPXQNHSA-N,Chembl507731,0,-2,-2,0,0,4,5,5,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
WQMLFJWIKARBFW-BKKMTDGVSA-N,Evomonoside,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
KFOKJHFZOWFZMK-ADSKZFNVSA-N,Chembl1819287,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
SCWHRCHTSPZEKX-JSGKQMPZSA-N,Chembl1819288,0,-2,-2,0,0,4,4,5,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
SYXYUKMELXLDBD-VXGABFOJSA-N,Cyclosporin Analogue 1,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IYEARVIIQYFJFO-UAWWPWJXSA-N,Cyclosporin Analogue 5,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IYEARVIIQYFJFO-DJBJBRADSA-N,Chembl2372499,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
AOJSPTDRNYDUQW-KSISVUKISA-N,Chembl1269583,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
BHDHIARYCQASQQ-KSISVUKISA-N,Chembl1269586,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
KTXGTJRUYOGULA-FFDWOFMBSA-N,Ac1Ns21X,0,-2,-2,0,0,3,5,5,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
PMATZTZNYRCHOR-IMVLJIQESA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
LFFQVHXIFJLJSP-IZLXSDGUSA-N,Aromoline,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
PMATZTZNYRCHOR-UHFFFAOYSA-N,Ciclosporin,1,0,0,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
VQNFWUHHBYKTRT-CPCREDONSA-N,Chembl314753,0,-2,-2,0,0,3,5,6,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
SRXFGKMXZMEZJK-JSWFPZAHSA-N,Chembl1269593,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
ANOXEUSGZWSCQL-KYJUHHDHSA-N,Mls002473211,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
PUAVTDKYTXNVBU-OIDHKYIRSA-N,Chembl405686,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
PMATZTZNYRCHOR-NFOUMSERSA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
VPUNMTHWNSJUOG-QWKCNQPQSA-N,18810-25-8,0,-2,-2,0,0,3,4,5,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
CFZGCDHAFXNPIA-VNHFGJPGSA-N,Chembl1269587,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
FFDBEIXGRMQNQA-MPQUPPDSSA-N,Chembl554170,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
QBILRDAMJUPXCX-RIBQKGKFSA-N,Prestwick3_000646,0,-2,-2,0,0,3,5,5,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
QBILRDAMJUPXCX-WAJAWEQJSA-N,Ac1O7Gci,0,-2,-2,0,0,3,5,5,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
QBILRDAMJUPXCX-AGAUEGNUSA-N,Helveticoside,0,-2,-2,0,0,3,5,5,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
NPEONIHYDZZZGH-FAYQIQJBSA-N,Chembl2372485,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
GZKBBELRUUTXNY-VMLYWGILSA-N,Chembl2370711,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
RKGFOGQBSWVWRE-VKSGXJPYSA-N,Chembl2021596,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
HFVORKQMCNYFND-UJUZIFHISA-N,Chembl2216757,0,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
SYXYUKMELXLDBD-PLFKCFKRSA-N,Chembl2372494,0,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
MBVUNZINNSVFPJ-WPOAXHDQSA-N,Chembl2216758,0,-2,-2,1,1,3,5,5,OLROWHGDTNFZBH-XEMWPYQTSA-N,Alisporivir
KPCQWYVBTAWTPJ-MPQUPPDSSA-N,Chembl540688,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
JXGPCIFTVXIJMH-VNHFGJPGSA-N,Chembl1269584,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
JHDKMJRBYZAZFR-SIGFPMBQSA-N,Chembl1269589,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
PMATZTZNYRCHOR-HHPJSCBPSA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
CVPXZGNJEDAIKS-OIDHKYIRSA-N,Chembl558941,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
PMATZTZNYRCHOR-OYFYQLEOSA-N,Ciclosporin,1,-2,-2,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin,1,2,5,2,2,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IGGMWDYWFSLMOW-SVBPBHIXSA-N,Mls002473157,0,-2,-2,0,0,3,3,3,YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine
VFYRHFIAVBNAOB-OIDHKYIRSA-N,Chembl554765,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
YWNUNVSMOKMJMG-GDLZYMKVSA-N,Stock1N-18333,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
SVQMVSCWYACSCP-KYJUHHDHSA-N,Thalidasine,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
ODCYIKWOTVSPKB-UHFFFAOYSA-N,Funiferine,0,-2,-2,0,0,3,3,4,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
TUOHGYWWSZWQKZ-KQEVGHMQSA-N,Chembl326025,0,-2,-2,0,0,3,5,6,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
FKHCVUFZOFEROS-MUUNZHRXSA-N,Nsc135070,0,-2,-2,0,0,3,4,4,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
LMYSMWRGUZMLGF-MZZDGGEQSA-N,Chembl415597,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IPDSMZFDGQKXHO-PIPXXAPASA-N,Chembl407456,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
JFXBEKISTKFVAB-AJQTZOPKSA-N,Metocurine,1,-2,-2,0,0,3,4,4,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
UHAQIEOQCFBSJX-CHQNGUEUSA-N,Chembl91102,0,-2,-2,0,0,3,4,6,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
JFXBEKISTKFVAB-UHFFFAOYSA-N,Metocurine,1,-2,-2,0,0,3,4,4,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
OQZGLOBKVNEEPK-HSASYKPZSA-N,Chembl2023572,0,-2,-2,0,0,3,4,4,LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain
UYPPEWHLQQUDPM-PNVMGJOXSA-N,Chembl2372468,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
UYPPEWHLQQUDPM-XFHVWFGQSA-N,Cyclosporin Analogue 52,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IMVOBBVIXAQIED-OIDHKYIRSA-N,Chembl539956,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
WVOQFNOZCJSUSJ-SJMJNALBSA-N,Chembl2375162,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
FXHIKAXRUIPGQY-OIDHKYIRSA-N,Chembl554314,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine,0,0,0,2,2,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine,1,0,0,2,2,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
LLQCATMGHGFZSS-UHFFFAOYSA-N,Chembl198935,0,-2,-2,0,0,3,3,3,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide
JHQWLEOVLPIFJB-MPQUPPDSSA-N,Chembl555466,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
IIQSJHUEZBTSAT-VMPREFPWSA-N,Fangchinoline,0,-2,-2,1,1,3,3,3,YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine
YVPXVXANRNDGTA-UHFFFAOYSA-N,Nsc-623442,0,-2,-2,1,1,3,3,3,YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine
RIZULOWDBGNKDX-UHFFFAOYSA-N,Chembl327087,0,-2,-2,0,0,3,5,6,AXRYRYVKAWYZBR-GASGPIRDSA-N,Atazanavir
MNNXIEANPHEHSB-WDYNHAJCSA-N,Antioquine,0,-2,-2,0,0,3,3,3,YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine
DUGOWPBTYKTTCP-UHFFFAOYSA-N,Chembl109803,0,-2,-2,0,0,3,3,3,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide
JFJZZMVDLULRGK-UHFFFAOYSA-O,Tubocurarine,1,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
JFJZZMVDLULRGK-URLMMPGGSA-O,Tubocurarine,1,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
JJZMZBZVLFGIEU-GKXKVECMSA-N,Unii-22Xms3Il5Q,0,-2,-2,0,0,3,3,4,NCDNCNXCDXHOMX-XGKFQTDJSA-N,Ritonavir
QLJRJCDCZGNOIC-NZYPTTNCSA-N,Chembl2043016,0,-2,-2,0,0,3,3,4,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
SXPLGDIBIBYDHC-PBIKNJLJSA-N,Ac1L9X2B,0,-2,-2,0,0,3,3,4,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
YJCOFCPVDAACMI-ZBHOSOLTSA-N,Chembl2043019,0,-2,-2,0,0,3,3,4,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
HIQZXOFBXJICTD-UHFFFAOYSA-N,Ac1Mrpw3,0,-2,-2,0,0,3,3,4,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
CQAFKYAZKRDXKE-KCJSDLITSA-N,Chembl2372474,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
FVUWRGZYTYVJIV-DJBJBRADSA-N,Chembl2372497,0,-2,-2,0,0,3,4,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
CQAFKYAZKRDXKE-SRXZLWNESA-N,Cyclosporin Analogue 43,0,-2,-2,0,0,3,4,4,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
ZJMYHEVTMWXXMA-SVEHJYQDSA-N,Nsc-409664,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
ZJMYHEVTMWXXMA-UHFFFAOYSA-N,Nsc409664,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
FBYTYZIJLCKBQE-MPQUPPDSSA-N,Chembl555469,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
XJEJTIOABZVCNJ-WUFINQPMSA-N,Ac1L9X2E,0,-2,-2,0,0,3,4,4,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
QWSAYEBSTMCFKY-UHFFFAOYSA-N,Trans Resveratrol 3-O-Beta-D-Glucuronide,0,-2,-2,0,0,3,3,3,HSTZMXCBWJGKHG-UHFFFAOYSA-N,Polydatin
WVTKBKWTSCPRNU-XZWHSSHBSA-N,Tetrandrine,1,-2,-2,3,3,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
JPTSMZMSIACDAD-UHFFFAOYSA-N,Chembl1940404,0,-2,-2,0,0,3,3,3,LNEPOXFFQSENCJ-UHFFFAOYSA-N,Haloperidol
JEKDOWMTUCHNIR-UHFFFAOYSA-N,Ac1Nf96P,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
JFJZZMVDLULRGK-VMPREFPWSA-O,Tubocurarine,1,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
WVOQFNOZCJSUSJ-JETILXCKSA-N,Chembl3038091,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
GMAJRXOYQVZSRJ-IOWSJCHKSA-N,Unii-947Txz810I,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
ZTBBOIYRZHAFIN-UHFFFAOYSA-N,Chembl1940402,0,-2,-2,0,0,3,3,3,LNEPOXFFQSENCJ-UHFFFAOYSA-N,Haloperidol
INUHRHLZFLIFNB-UHFFFAOYSA-N,Oxofangchirine,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
KTXGTJRUYOGULA-HECCNADXSA-N,A-78791,0,-2,-2,0,0,3,5,5,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Lopinavir
GBAVOQOMIYSWGW-JHWHNHJXSA-N,Chembl1269588,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
IJHJUXHIEFZHAS-MPQUPPDSSA-N,Chembl537952,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
VPUNMTHWNSJUOG-MSXBREHESA-N,Chembl1355522,0,-2,-2,0,0,3,4,5,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin
PXXYOLIWFSWZNP-LOYHVIPDSA-P,Dimethyl-L-Bebeerine,0,-2,-2,0,0,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
HGNHIFJNOKGSKI-UHFFFAOYSA-N,Oxycanthine,0,-2,-2,1,1,3,3,3,DFOCUWZXJBAUSQ-URLMMPGGSA-N,Berbamine
UUURWWVPMHAACP-UHFFFAOYSA-N,Ac1L82Sv,0,-2,-2,1,1,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
DFZMWWCBMPCKFD-DTLHCQOUSA-N,[(40-Oh)Meleu]4-Cyclosporin A,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
NXOCQSCDLIQYIV-WSLSKZGMSA-N,Chembl1269585,0,-2,-2,0,0,3,5,5,PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin
MHFFPFLMIZYTNJ-OIDHKYIRSA-N,O-(4-Ethoxybutyl)Berbamine,0,-2,-2,0,0,3,3,3,WVTKBKWTSCPRNU-KYJUHHDHSA-N,Tetrandrine
DJAWTLHBPPQMPV-RRPNLBNLSA-N,Nsc-181486,0,-2,-2,0,0,3,3,3,YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine
