inchikey,name,evidence,moa,descriptions,links
KBOPZPXVLCULAV-UHFFFAOYSA-N,Mesalazine,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
XFCLJVABOIYOMF-QPLCGJKRSA-N,Toremifene;Toremifene citrate,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Effective against SARS-CoV MERS-CoV in vitro / inhibits EVOB entry in cells / identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;;https://stm.sciencemag.org/content/5/190/190ra79;;https://www.nature.com/articles/s41421-020-0153-3
JUKPWJGBANNWMW-VWBFHTRKSA-N,Eplerenone;Eplerenone,1,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Prolongs survival, tested in viral myocarditis in mice",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pubmed/19213804;;;;
AHOUBRCZNHFOSL-YOEHRIQHSA-N,Paroxetine,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
QFJCIRLUMZQUOT-HPLJOQBZSA-N,Sirolimus;Sirolimus;Rapamycin;Rapamycin,2,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;MERS-CoV 60% decreased infection in vitro / improved clinical outcome H1N1;Inhibits MERS replication in vitro;Drugs from Sars-Cov-2-Human PPI map",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787;https://www.ncbi.nlm.nih.gov/pubmed/25487801;https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;https://www.ncbi.nlm.nih.gov/pubmed/24105455;;;;;;
RJURFGZVJUQBHK-IIXSONLDSA-N,Dactinomycin,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
YOSHYTLCDANDAN-UHFFFAOYSA-N,Ibesartan;Irbesartan,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://www.nature.com/articles/s41421-020-0153-3;;;;
GLVAUDGFNGKCSF-UHFFFAOYSA-N,Mercaptopurine,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin;Melatonin,1,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Prolongs survival due to anti inflammation (not virus related)",https://www.nature.com/articles/s41421-020-0153-3;https://www.nature.com/articles/s41421-020-0153-3;;;;
GPKJTRJOBQGKQK-UHFFFAOYSA-N,Quinacrine,0,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
OGHNVEJMJSYVRP-UHFFFAOYSA-N,Carvedilol,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
IAKHMKGGTNLKSZ-INIZCTEOSA-N,Colchicine,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
DSSYKIVIOFKYAU-UHFFFAOYSA-N,Camphor,0,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
WKRLQDKEXYKHJB-HFTRVMKXSA-N,Equilin;Equilin,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;inhibits EVOB entry in cells / identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://stm.sciencemag.org/content/5/190/190ra79;;https://www.nature.com/articles/s41421-020-0153-3;;
DLZUBMGMHUNDLF-UHFFFAOYSA-N,Oxymetholone,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
RHMXXJGYXNZAPX-UHFFFAOYSA-N,Emodin,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,6-fluoro-3-hydroxy-2-pyrazinecarboxamide;Favilavir;Favipiravir;favipiravir,3,4,"Developed as antiinfluenza;;Increases 7-day recovery rate in patients with COVID19;COVID-19 patients untreated with antiviral previously, favipiravir can be considered as a preferred treatment",https://www.ncbi.nlm.nih.gov/pubmed/28769016;https://www.upi.com/Health_News/2020/02/17/China-approves-antiviral-favilavir-to-treat-coronavirus/5291581953892/;https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1;https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1;https://www.dailysabah.com/life/health/japanese-drug-favipiravir-proving-effective-against-covid-19-in-as-little-as-4-days;;https://www.sciencedirect.com/science/article/pii/S2095809920300631?via%3Dihub;;;;;
WHTVZRBIWZFKQO-UHFFFAOYSA-N,Chloroquine diphosphate;Chloroquine,3,3,Anti SARS-CoV and MERS-CoV in vitro;Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071;https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/16;https://www.sciencedirect.com/science/article/pii/S0883944120303907;;https://www.ncbi.nlm.nih.gov/pubmed/32074550;
RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,1,0,Anti SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/;
KJHKTHWMRKYKJE-SUGCFTRWSA-N,Used for MERS clinically / No effect in clinical trial for Covid19;Lopinavir,3,3,"Anti SARS-CoV and MERS-CoV in vitro / NO EFFECT IN CLINICAL TRIAL;HIV drug. Combination of Lopinavir, ritonavir and interferon beta is being evaluated in humans",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/;https://www.nature.com/articles/s41467-019-13940-6;https://www.nejm.org/doi/full/10.1056/NEJMoa2001282;;;
