Identifier	Drug Name	SMILES	Evidence	Experimental evidence	MoA code	Potential MoA	Annotator	Reference	Reference (2)	Reference (3)
cov001	Mesalazine	C1=CC(=C(C=C1N)C(=O)O)O	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov002	Toremifene	CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov003	Eplerenone	C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov004	Paroxetine	C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov005	Sirolimus	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	1	Host factor	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov006	Dactinomycin	C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov007	Ibesartan	[2H]C1=C(C(=C(C(=C1CN2C(=NC3(C2=O)CCCC3)CCCC)[2H])[2H])C4=CC=CC=C4C5=NNN=N5)[2H]	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov008	Mercaptopurine	C1=NC2=C(N1)C(=S)N=CN2	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov009	Melatonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov010	Quinacrine	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov011	Carvedilol	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov012	Colchicine	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov013	Camphor	CC1(C2CCC1(C(=O)C2)C)C	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov014	Equilin	C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov015	Oxymetholone	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov016	Emodin	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov017	Sirolimus + Dactinomycin		0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov018	Toremifene + Emodin		0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov019	Mercaptopurine + Melatonin		0	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3		
cov020	6-fluoro-3-hydroxy-2-pyrazinecarboxamide	C1=C(N=C(C(=O)N1)C(=O)N)F	3	Developed as antiinfluenza	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/28769016	https://www.dailysabah.com/life/health/japanese-drug-favipiravir-proving-effective-against-covid-19-in-as-little-as-4-days	
cov021	GS-5734	CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4	3	Decreases monkey infection by MERS-CoV	4	RNA transcription or replication	Miquel/Gemma	https://www.pnas.org/content/early/2020/02/12/1922083117	https://www.nature.com/articles/s41422-020-0282-0?fbclid=IwAR1DeWaS1w2LD3MrW	
cov022	Toremifene citrate	CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3	1	Effective against SARS-CoV MERS-CoV in vitro / inhibits EVOB entry in cells / identified in network screening	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/	https://stm.sciencemag.org/content/5/190/190ra79	https://www.nature.com/articles/s41421-020-0153-3
cov023	Chloroquine diphosphate	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O	3	Anti SARS-CoV and MERS-CoV in vitro	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071	https://www.sciencedirect.com/science/article/pii/S0883944120303907	https://www.ncbi.nlm.nih.gov/pubmed/32074550
